instance,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,y
60,0,3,0,1,2,0,1,5,3,2,0,5,107,1321822,28,0,0,94,2.647295291,6.8,12.05,7.46,
61,0,0,2,5,3,1,0,15,1,2,6,0,110,208278,41,0,0,126,2.424841029,5.19,10.43,7.57,
62,0,10,0,5,2,0,1,0,3,4,4,5,104,654724,44,0,0,157,1.197524225,4.31,9.85,8.83,
63,0,11,0,9,2,0,1,20,2,1,6,2,163,559188,6,0,0,176,2.49354385,5.81,12.66,10.78,
64,0,0,2,5,4,0,1,0,3,0,1,2,79,653819,41,0,0,126,3.119432941,5.28,9.53,6.49,
65,0,1,4,8,5,0,0,0,2,2,5,5,97,513701,31,0,0,126,3.335903667,4.22,11.26,7.22,
66,0,1,2,7,3,0,1,0,3,1,7,1,72,102831,31,0,0,126,1.445183267,3.31,9.58,11.08,
67,2,1,0,1,2,0,1,0,3,4,8,5,163,647338,31,0,0,126,1.198095457,5.66,9.81,11.64,
68,2,3,0,4,2,1,1,27,2,0,0,2,104,436860,28,0,0,264,1.779337027,4.64,7.02,7.41,
69,1,10,0,1,2,0,1,0,0,0,6,6,176,732971,44,0,0,157,1.649701798,5.81,13.96,8.77,
70,0,0,2,3,3,1,1,None,2,0,5,7,110,391075,41,0,0,157,3.264507276,5.97,10.82,6.98,
71,2,1,1,9,3,0,1,0,0,2,9,4,151,278232,31,0,0,141,3.288711066,6.5,10.5,7.89,
72,0,8,0,9,2,0,1,0,2,2,7,5,79,1102228,13,0,0,157,2.436205144,3.97,8.48,6.57,
73,5,13,2,5,3,4,0,0,3,3,1,6,126,288866,50,0,0,126,3.114263604,3.61,6.55,10.35,
74,1,0,2,3,3,0,0,0,0,2,8,1,79,381028,41,0,0,126,4.253450036,6.41,10.45,8.53,
75,0,3,0,3,2,0,1,0,0,3,9,0,176,306434,28,0,6211,126,2.031128599,5.4,9.31,6.95,
76,0,0,0,4,2,4,1,0,3,1,6,2,116,1075933,41,0,0,126,1.217099073,5.77,8.9,7.62,
77,1,5,0,9,2,0,1,0,2,3,9,1,126,536791,38,0,0,157,2.44382292,5.13,10.96,8.69,
78,0,0,0,4,2,0,1,0,0,3,5,3,123,900974,41,0,0,126,3.627510736,5.06,8.42,7.56,
79,None,12,1,None,3,0,0,0,3,1,3,3,63,1028752,19,0,0,126,1.099468634,2.56,10.81,9.33,
80,4,1,0,12,2,0,1,0,3,3,6,4,145,525145,31,0,0,220,0.349074708,6.1,4.78,4.58,
81,0,3,1,7,3,0,0,0,1,2,1,1,167,370494,28,0,0,126,0.37492775,5.62,9.59,6.65,
82,1,3,0,1,2,0,1,0,3,4,6,3,138,282809,28,0,0,94,1.452248107,5.77,10.6,8.24,
83,0,5,1,8,5,0,0,0,2,4,8,1,176,602925,38,12884,0,126,1.412894896,5.9,6.59,10.84,
84,0,0,2,3,3,0,0,0,1,0,5,2,82,1245585,41,0,0,151,3.088484718,4.96,11.32,6.21,
85,0,0,3,3,3,0,1,0,1,4,0,0,88,375562,41,0,0,132,2.370558068,5.89,9.37,7.32,
86,None,3,2,None,1,4,0,0,1,0,3,0,63,766489,28,0,0,126,2.086739755,4.43,8.96,8.6,
87,0,3,0,2,0,0,0,0,2,1,6,7,145,489001,28,0,0,126,1.029008313,4.26,10.42,7.57,
88,2,1,2,3,1,0,0,0,1,3,1,3,79,1429217,31,0,0,110,2.175978965,4.51,14.6,10.26,
89,0,6,3,2,5,0,0,0,3,1,4,5,226,936415,35,21121,0,79,3.712276259,3.8,7.38,7.53,
90,0,2,4,8,3,0,0,0,1,1,4,7,204,338098,22,0,0,25,1.322550845,4.8,9.97,9.62,
91,0,1,2,6,1,0,1,0,1,3,6,6,66,151742,31,0,0,126,2.470659572,2.75,11.58,6.92,
92,0,3,2,3,1,4,0,0,3,4,7,1,60,1183385,28,0,0,110,2.527145039,5.3,11.8,6.1,
93,0,0,2,3,1,0,0,0,0,1,5,2,75,368707,41,0,0,110,2.916493112,4.42,11.62,12.09,
94,5,6,0,4,2,0,1,0,0,3,2,4,163,726229,35,0,0,126,1.763320793,5.47,12.89,10.59,
95,4,0,0,5,2,0,1,0,3,2,3,4,113,1288160,41,0,5928,126,2.292542624,4.68,15.95,6.72,
96,2,0,2,6,1,0,1,0,3,0,7,1,69,537341,41,0,0,126,1.690286464,3.7,8.57,7.87,
97,0,0,0,4,2,0,1,0,0,1,8,3,101,326286,41,0,0,157,0.946898478,3.78,7.06,8.23,
98,0,3,0,1,2,0,1,0,1,1,5,2,201,394848,28,0,0,126,1.997186911,6.66,10.78,6.39,
99,3,3,4,5,5,0,0,0,0,1,0,7,123,104580,28,0,0,188,1.001749489,6.1,10.55,6.09,
100,3,0,0,5,2,0,1,0,2,1,2,0,141,1141711,41,0,0,126,3.690468967,5.58,8.75,8.63,
101,0,3,2,6,1,0,1,0,3,0,0,3,66,628699,28,0,0,126,1.981490178,4.49,9.12,6.37,
102,0,3,2,8,1,4,1,0,2,3,6,6,113,903704,28,0,0,126,2.316267498,6.05,10.62,7.87,
103,0,3,0,3,2,4,1,0,0,3,5,1,148,603051,28,0,0,126,1.74172892,4.55,9.44,6.42,
104,0,3,1,2,3,0,0,0,1,4,6,2,226,280541,28,0,0,50,3.112955346,6.76,11.57,7.87,
105,0,3,4,8,3,2,0,0,2,4,7,4,157,366982,28,0,0,126,2.719330938,6.63,8.62,7.29,
106,0,3,3,7,3,0,0,0,0,4,4,0,154,86752,28,0,0,126,2.206143908,6.35,5.31,9.1,
107,5,0,2,4,3,0,0,0,1,0,4,7,82,410157,41,0,0,110,1.160860954,5.27,9.85,8.47,
108,1,3,2,10,1,0,1,0,0,0,8,1,63,415696,28,0,0,141,2.69151459,4.63,9.49,7.35,
109,0,1,0,0,2,0,1,0,1,3,4,1,176,691738,31,0,0,141,2.29198043,5.33,10.79,7.48,
110,0,3,2,2,5,4,1,0,0,4,6,2,82,216742,28,0,0,126,2.374032524,4.12,11,9.06,
111,4,5,1,8,3,0,0,0,2,0,3,5,154,1011125,38,0,0,94,1.709155631,5.93,8.44,8.74,
112,0,10,0,5,0,0,0,0,3,0,7,6,123,422126,44,0,6211,75,3.567581447,5.85,11.74,7.69,
113,0,8,0,1,2,4,1,0,3,1,6,1,141,1292052,13,0,0,126,3.5843831,5.58,6.47,8.38,
114,0,5,0,3,2,0,1,0,0,2,3,6,129,699988,38,0,0,141,0.787784437,5.96,10.3,9.06,
115,0,1,1,0,3,4,0,0,0,0,2,6,179,130942,31,0,0,126,0.387695144,5.15,12.7,8.19,
116,0,3,2,2,1,4,1,0,3,1,8,6,72,570378,28,0,0,79,1.637880576,5.1,9.21,6.24,
117,0,3,2,2,3,0,1,0,0,4,4,3,154,755958,28,0,0,119,2.600304594,5.81,9.75,8.05,
118,0,1,1,8,3,0,0,0,3,1,3,3,176,427772,31,0,0,126,3.314246326,4,10.37,7.85,
119,0,1,2,3,1,0,0,0,2,3,0,2,69,190230,31,0,0,126,0.63645206,5.1,9.5,7.04,
120,0,3,2,2,3,0,1,0,1,2,9,1,79,664108,28,0,0,151,2.60321561,4.32,8.28,6.82,
121,0,0,0,8,2,0,1,0,1,4,3,5,104,185615,41,0,5975,141,2.087106628,3.93,14.21,6.38,
122,0,3,4,2,3,2,0,0,3,1,0,4,163,672587,28,0,0,126,0.971124914,4.75,8.99,10.76,
123,0,10,0,5,2,0,1,0,1,3,1,6,141,560275,44,0,0,157,3.082515566,7.27,8.18,11.01,
124,4,0,2,4,5,1,1,19,3,4,9,4,119,389504,41,0,5470,126,2.009528972,4.42,12.4,8.11,
125,4,0,3,5,3,0,0,0,0,0,7,7,101,700261,41,0,0,157,1.696896629,5.74,10.36,8.07,
126,0,0,0,4,2,0,1,0,1,4,8,2,141,572753,41,24153,0,157,1.937705836,6.31,7.92,8.09,
127,3,1,2,1,3,0,1,0,3,4,5,4,94,1003048,31,0,0,126,0.339333619,4.14,9.3,8.87,
128,0,12,0,1,2,0,1,0,2,4,6,2,119,1203981,19,9748,0,126,1.733112556,5.36,9.67,8.31,
129,5,3,1,2,3,4,0,0,2,1,8,3,126,1227675,28,0,0,151,3.141892939,3.83,10.26,10.2,
130,0,0,2,4,3,0,1,4,2,0,6,4,126,564437,41,0,0,94,0.388721489,5.58,8.19,9.35,
131,0,1,1,3,5,0,1,0,3,3,8,7,135,377861,31,0,0,173,2.451318909,4.17,10.49,7.72,
132,0,3,2,2,3,4,1,None,1,0,5,3,94,454252,28,0,0,126,1.545927272,2.67,10.1,7.98,
133,0,3,2,1,5,0,1,20,1,0,7,6,88,841670,28,0,0,126,1.151190777,6.3,8.5,6.32,
134,0,3,2,8,5,0,0,0,2,0,7,2,113,582432,28,0,0,126,2.947482391,4.61,10.72,8.25,
135,0,3,0,7,2,0,1,0,3,2,5,3,110,540253,28,0,0,126,1.577066527,4.27,7.71,7.2,
136,0,3,2,1,1,0,1,0,2,4,0,2,72,447884,28,0,0,126,3.711290185,3.49,11.93,5.56,
137,0,3,0,3,2,0,1,0,1,0,5,6,236,329541,28,8335,0,63,2.094865283,4.84,11.84,8.94,
138,0,10,1,4,3,0,0,0,2,2,2,4,157,582307,44,0,0,110,2.743750187,3.58,10.8,7.98,
139,0,3,0,4,2,0,1,0,1,0,9,1,113,587270,28,0,0,157,1.336971428,4.97,9.42,8.28,
140,0,3,0,7,2,4,1,0,3,3,8,5,145,567073,28,0,0,126,3.896034773,4.97,15.03,7.99,
141,0,5,0,4,2,0,1,0,2,3,1,1,160,479570,38,0,0,141,1.809402702,3.3,11.81,8.24,
142,1,7,0,10,2,4,1,0,2,2,7,4,141,519202,16,0,0,126,1.884110423,6.66,9.76,8.49,
143,2,1,2,3,3,0,1,0,2,2,3,4,119,268814,31,0,0,204,2.697350876,5.28,7.57,8.84,
144,2,10,0,4,2,0,1,0,1,3,9,3,185,98517,44,47199,0,251,2.115692455,4.6,8.71,8.49,
145,2,0,0,4,2,0,1,0,2,2,2,5,91,1403425,41,0,0,110,2.734031636,6.04,11.25,9.48,
146,0,1,0,4,2,0,1,0,2,3,6,6,119,521284,31,0,0,157,0.762484566,4.59,10.4,8.14,
147,0,3,1,2,3,0,0,0,3,1,9,5,229,894349,28,0,0,63,2.852851779,2.22,11.73,8.36,
148,0,1,1,3,5,0,1,0,0,0,7,6,151,1335802,31,0,0,141,2.346848454,4.84,7.59,7.15,
149,0,10,0,5,2,0,1,0,3,0,7,1,135,806802,44,0,5975,126,3.032040124,3.13,6.78,10.59,
150,2,1,0,4,2,0,1,0,0,3,2,1,123,279517,31,0,0,264,2.346504448,5.25,11.68,6.3,
151,0,3,2,8,3,0,0,0,3,2,1,2,82,619811,28,0,0,157,3.293483542,3.89,8.33,8.04,
152,0,3,0,1,2,0,1,0,0,1,2,7,85,706384,28,0,0,126,1.157024955,5.38,10.13,8.19,
153,1,0,0,4,1,0,1,0,2,1,6,4,148,372298,41,0,0,188,0.92241305,5.43,9.65,8.64,
154,0,0,0,3,2,0,1,0,3,0,8,0,157,444033,41,0,0,157,0.890153297,4.35,8.29,6.79,
155,0,3,2,6,1,0,1,0,3,1,7,1,60,371669,28,0,0,50,4.058908774,4.59,9.18,9.82,
156,0,3,1,3,3,0,0,0,2,3,6,3,173,892511,28,0,0,116,2.462930382,7.33,11.4,9.5,
157,0,5,1,4,1,0,0,0,1,3,9,2,104,651255,38,0,0,126,1.532879584,4.54,7,8.4,
158,0,3,1,2,5,0,1,0,3,3,7,5,170,276520,28,0,0,101,0.879115898,4.84,11.78,9.33,
159,1,6,0,1,2,0,1,0,3,3,6,5,101,1191958,35,0,0,126,1.653487829,7.29,10.95,9.28,
160,0,2,0,7,2,0,1,0,2,0,4,3,66,805002,22,0,0,126,1.423251733,6.61,9.52,6.53,
161,1,2,0,3,2,0,1,0,0,4,8,6,179,436342,22,0,0,47,2.074441763,5.57,10.35,5.84,
162,0,3,2,7,1,0,1,0,0,1,0,6,79,655308,28,0,0,126,2.181488917,5.45,11.78,7.87,
163,1,1,2,9,1,0,1,0,2,3,5,0,72,743942,31,0,0,110,1.783461236,3.67,9.54,8.73,
164,1,10,0,5,2,1,1,0,0,1,8,1,119,732095,44,0,0,126,3.405396965,6.4,10.14,11.84,
165,0,3,0,7,2,0,1,0,2,1,2,7,107,500101,28,0,0,141,1.705560078,5.05,10.25,5.8,
166,0,1,2,2,1,0,0,0,0,2,0,3,72,508021,31,0,0,63,0.894345622,3.45,10.32,7.91,
167,0,0,0,5,0,0,0,12,1,1,8,7,129,745977,41,0,0,47,3.446277767,4.83,10.47,7.33,
168,0,2,0,7,2,4,1,0,0,0,0,0,94,548849,22,0,0,126,0.653961806,5.29,10.35,5.59,
169,0,14,0,10,2,0,1,20,0,2,9,7,141,627030,9,0,0,119,2.738568318,5.33,7.34,7.98,
170,0,2,2,2,1,4,1,0,1,2,8,2,53,340769,22,0,0,53,1.675784883,4.73,8.27,6.8,
171,0,1,0,4,2,4,1,0,1,2,0,3,69,553332,31,0,0,126,2.305104028,4.18,12.51,9.3,
172,1,6,0,2,0,0,0,0,1,0,6,5,151,318033,35,0,0,47,2.815122846,6.94,5.31,7.55,
173,0,1,1,8,3,0,0,0,2,1,2,2,170,1105087,31,0,0,110,0.226621383,6.89,10.31,7.08,
174,0,3,0,1,2,0,1,0,3,2,2,2,126,1121341,28,0,5975,141,2.266267299,4.48,9.99,6.76,
175,4,1,0,2,2,0,1,0,2,4,8,6,79,639025,31,0,0,126,3.385777059,4.58,10.58,6.29,
176,0,1,0,1,2,0,1,0,1,0,2,2,66,458559,31,22927,0,188,2.505986365,6.37,10.12,9,
177,0,0,2,4,3,0,0,0,0,2,2,0,94,561846,41,0,0,126,0.20974662,5.29,9.55,8.38,
178,2,0,2,4,1,0,1,0,1,4,7,1,75,737216,41,0,0,126,1.240893969,5.33,10.83,4.77,
179,4,3,0,12,0,0,0,0,1,1,2,1,85,625717,28,0,0,126,1.485366138,4.56,7.26,5.01,
180,0,3,0,1,2,0,1,0,2,4,9,2,88,196459,28,0,0,135,2.512444362,5.22,8.4,7.61,
181,0,0,2,1,3,4,1,0,0,1,0,4,82,567101,41,0,0,126,2.576085611,5.51,10.27,5.22,
182,1,3,0,8,0,0,0,0,2,0,3,7,195,1161554,28,0,0,126,2.012823319,6.14,7.92,10.6,
183,1,0,0,4,2,0,1,0,0,2,4,3,148,321570,41,0,0,94,3.25787999,5.13,12.67,8.05,
184,0,3,2,8,3,4,1,0,2,3,4,5,119,1070539,28,0,7348,148,4.152267935,6.33,9.55,8.06,
185,0,3,0,3,2,0,1,0,2,4,7,2,179,694248,28,0,0,126,-0.334621135,4.71,9.95,5.24,
186,0,0,1,3,5,4,0,0,0,1,7,3,145,516412,41,0,0,110,0.399597023,5.72,8.54,6,
187,0,1,2,8,3,0,0,0,0,3,8,5,88,505737,31,0,0,163,0.575620498,2.86,13.13,6.6,
188,0,1,2,7,3,4,0,0,0,4,3,3,72,392077,31,0,0,126,2.563476693,3.86,8.9,8.72,
189,1,3,0,4,2,0,1,0,1,3,8,5,129,1393321,28,0,0,157,2.20189166,6,7.71,6.78,
190,0,1,0,0,2,0,1,0,1,2,7,5,173,629742,31,0,0,126,2.295854501,6.79,10.89,4.86,
191,0,1,0,7,2,0,1,0,2,2,7,4,119,927169,31,0,0,126,0.804269425,4.49,10.38,6.49,
192,0,0,0,4,2,0,1,0,1,1,7,5,167,328300,41,0,5975,173,2.584515633,5.47,6.58,8.12,
193,0,5,2,1,4,0,1,0,0,4,5,2,72,222720,38,0,0,126,3.0360177,5.97,10.73,6.05,
194,0,0,2,4,3,0,1,0,0,1,3,0,97,288913,41,0,0,126,2.96979068,5.34,12.78,3.97,
195,0,0,2,8,1,0,1,0,0,0,9,0,75,356464,41,0,0,126,1.466901201,4.11,9.45,5.54,
196,0,3,2,3,1,0,0,0,1,4,9,6,141,227429,28,0,0,110,3.136196846,3.53,9.01,7.01,
197,0,6,2,1,3,0,0,None,3,0,8,6,129,581374,35,0,0,126,3.855579796,4.78,11.32,8.16,
198,0,10,0,4,2,0,1,0,1,0,3,4,101,510735,44,0,6211,151,3.691185599,6.11,12.1,7.82,
199,0,8,0,10,2,0,1,0,2,4,4,4,179,401269,13,0,0,138,2.656579938,6.2,9.48,8.04,
200,0,3,0,3,2,0,1,0,1,4,2,1,220,873799,28,10782,0,126,0.656548999,5.64,7.19,9.25,
201,0,8,4,7,5,4,0,0,3,1,8,3,179,693887,13,0,0,126,1.432347158,3.88,8.34,8.91,
202,0,3,1,3,3,0,0,0,2,1,4,3,210,692039,28,0,0,63,3.821551029,5.22,9.87,6.46,
203,0,6,1,4,5,0,0,0,3,1,9,3,101,444504,35,0,0,157,4.146883792,6.26,11.7,7.41,
204,0,1,0,4,2,0,1,0,0,4,4,1,113,263558,31,0,0,126,2.111215097,5.02,11.72,8.91,
205,2,3,0,4,2,0,1,0,0,2,7,6,123,534617,28,0,0,188,2.115794273,3.38,11.25,7.52,
206,0,1,2,0,3,4,1,15,0,2,5,5,104,1741089,31,0,0,126,2.843632511,5.69,12.47,6.55,
207,0,3,3,2,3,0,0,0,1,0,2,5,126,533709,28,0,0,126,1.529811332,4.93,9.91,7.94,
208,0,3,0,10,2,0,1,0,1,1,0,0,129,762791,28,0,0,126,3.350203239,4.04,9.1,7.64,
209,4,0,0,12,2,0,1,0,1,2,8,6,145,631294,41,0,0,126,1.123217538,4.13,8.97,10.14,
210,0,5,0,4,2,0,1,0,0,3,6,5,94,549116,38,0,5806,157,2.132113841,4.38,11.64,5.02,
211,0,3,5,5,3,0,1,0,2,3,6,2,248,1046873,28,0,0,19,1.528100661,4.5,8.17,6.73,
212,1,14,0,3,2,0,1,16,1,2,1,7,148,380522,9,0,0,173,1.626329735,4.56,11.56,7.16,
213,0,6,2,5,3,0,0,0,3,4,4,0,129,337017,35,0,0,141,3.443177877,4.55,12.41,8.16,
214,1,5,1,0,3,0,0,0,1,3,5,4,151,248189,38,0,0,126,1.565075467,6.78,9.09,9.07,
215,0,1,1,7,5,0,1,0,3,2,0,1,101,671946,31,0,0,141,2.07569535,6.66,9.39,8.81,
216,0,10,0,4,2,0,1,0,1,2,7,1,179,1058720,44,0,0,141,2.651707406,4.27,12.36,8.81,
217,0,0,1,4,5,0,0,0,1,4,7,7,188,704587,41,0,0,126,1.890500765,6.17,9.36,9.95,
218,0,5,1,4,3,0,0,0,0,1,7,0,154,641064,38,0,0,126,1.529993862,3.64,7.32,7.46,
219,0,3,2,2,3,0,0,0,3,0,2,0,66,305401,28,0,6286,79,2.874245173,5.06,9.8,6.46,
220,0,3,2,8,1,0,0,0,1,1,1,4,94,644667,28,0,0,126,0.961925553,3.96,10.1,5.47,
221,0,3,4,8,5,0,0,0,3,3,4,4,226,537781,28,7317,0,63,2.553215689,3.8,8.42,8.77,
222,0,5,0,4,2,0,1,0,3,4,3,1,151,313641,38,0,0,157,2.36550774,7.81,10.5,8.93,
223,0,0,0,5,2,0,1,0,0,1,1,7,132,895561,41,0,0,141,2.660739756,3.98,8.03,6.63,
224,0,2,2,3,1,0,0,0,3,1,7,5,57,473806,22,0,0,63,3.226963909,5.48,4.32,6.59,
225,0,1,2,9,3,0,1,0,3,0,4,5,157,569065,31,0,0,126,1.756490647,5.16,10.49,6.75,
226,0,10,1,5,5,0,0,0,0,1,5,5,148,531218,44,0,0,157,0.77195066,4.96,12.78,8.71,
227,0,0,2,4,3,0,0,0,2,3,2,1,85,405294,41,0,0,173,2.558874653,4.45,9.84,8.03,
228,0,7,2,10,5,3,1,36,1,3,1,2,75,1027084,16,0,0,126,1.43657566,5.18,8.7,8.27,
229,0,3,0,1,2,0,1,0,1,3,9,5,154,565075,28,0,0,126,2.034715704,6.73,11.53,7.08,
230,0,0,2,5,3,0,1,0,3,3,3,7,85,217185,41,0,0,126,1.698480735,4,9.21,6.43,
231,0,3,2,6,1,0,1,0,3,1,6,4,176,619252,28,0,0,88,2.020737413,5.08,9.72,7.7,
232,0,10,4,5,3,0,0,0,0,0,6,0,192,313481,44,0,0,126,2.870171379,3.79,10.95,8.93,
233,0,1,2,6,1,1,1,0,1,3,9,1,75,316261,31,0,0,94,2.096458752,3.14,10.84,7.55,
234,1,3,0,1,2,0,1,0,1,1,8,7,107,614502,28,0,0,173,2.491014614,6.71,13.01,10.92,
235,0,1,0,1,2,0,1,0,1,1,6,6,151,669015,31,0,0,188,2.803302371,3.97,8.36,6.95,
236,0,3,0,7,0,0,0,0,3,3,3,7,75,680353,28,0,0,126,2.869529536,4.13,13.3,5.83,
237,None,1,0,None,0,0,0,0,2,4,1,7,195,573928,31,0,0,141,2.802512125,5.13,8.33,9.45,
238,None,12,2,None,1,0,1,0,0,2,2,3,53,593001,19,0,0,44,3.566730236,4.49,11.96,7.46,
